Timestamp,Data
1,111631
2,47376
3,224610
4,32415
5,57785
6,117722
7,188015
8,230391
9,152807
10,111933
11,81404
12,90028
13,37808
14,59211
15,157262
16,787355
17,218054
18,161451
19,174526
20,32006
21,48401
22,132654
23,12193
24,20168
25,213130
26,119477
27,79875
28,13246
29,41766
30,53364
31,230991
32,42112
33,204086
34,36625
35,6617
36,87451
37,62407
38,38317
39,208804
40,143751
41,180201
42,262856
43,26260
44,175650
45,226410
46,51313
47,89170
48,28456
49,89189
50,191224
51,48952
52,139675
53,1038670
54,61166
55,103035
56,51935
57,96789
58,42936
59,1243152
60,80890
61,218385
62,91166
63,157798
64,139274
65,234456
66,157985
67,151250
68,160359
69,146067
70,57717
71,106825
72,291712
73,152479
74,75710
75,15540
76,170491
77,143607
78,169749
79,147988
80,39149
81,278145
82,43153
83,99754
84,143793
85,187790
86,420515
87,135267
88,989753
89,181236
90,139355
91,122692
92,273349
93,94192
94,91690
95,39061
96,161777
97,213594
98,29913
99,9515
100,53766
101,88958
102,139424
103,235223
104,74080
105,166013
106,136459
107,84484
108,144256
109,208600
110,66193
111,73293
112,156850
113,74096
114,68399
115,72148
116,14563
117,31315
118,10031
119,117972
120,39312
121,157592
122,223165
123,24787
124,170367
125,11871
126,124695
127,188989
128,158585
129,405494
130,244022
131,77612
132,137778
133,91934
134,288174
135,113487
136,55464
137,211642
138,157734
139,27231
140,125389
141,94993
142,108526
143,342621
144,33186
145,234144
146,39586
147,183508
148,138832
149,31737
150,129320
151,42478
152,123807
153,164246
154,224591
155,300267
156,79991
157,181448
158,41923
159,515891
160,316411
161,179717
162,108622
163,240164
164,416486
165,228726
166,127383
167,135177
168,136793
169,174026
170,31397
171,92982
172,31977
173,113239
174,173243
175,307428
176,543572
177,163890
178,180854
179,23973
180,341417
181,73342
182,274390
183,588607
184,185964
185,184218
186,218472
187,116808
188,69104
189,151940
190,230707
191,268240
192,92264
193,178232
194,62582
195,290192
196,19241
197,21302
198,165608
199,121101
200,285567
201,155536
202,72855
203,186255
204,206336
205,20955
206,72552
207,84251
208,128981
209,8676
210,179582
211,34176
212,195490
213,88549
214,87658
215,129669
216,139056
217,88395
218,188518
219,143117
220,332424
221,90424
222,143261
223,90863
224,155268
225,236682
226,265388
227,139676
228,34377
229,96878
230,125347
231,82526
232,293151
233,21987
234,433105
235,102362
236,140455
237,80079
238,89786
239,260519
240,128525
241,33804
242,163153
243,87599
244,80118
245,10589
246,44244
247,173854
248,77014
249,37597
250,17059
251,110622
252,38649
253,82951
254,85126
255,174006
256,83896
257,117865
258,160334
259,148298
260,74807
261,191332
262,78781
263,130783
264,141097
265,137500
266,204957
267,71504
268,67612
269,230478
270,131972
271,142100
272,116036
273,236452
274,205567
275,322234
276,109317
277,135918
278,27261
279,243886
280,18627
281,61254
282,161655
283,129940
284,162987
285,84310
286,178076
287,78135
288,58897
289,110920
290,165767
291,128353
292,214817
293,209944
294,82566
295,57960
296,155588
297,114906
298,171505
299,119318
300,110852
301,404219
302,53490
303,86688
304,87968
305,42845
306,172763
307,172226
308,61366
309,56873
310,60559
311,175376
312,82750
313,128348
314,29646
315,85622
316,82992
317,147696
318,167433
319,122372
320,179388
321,77672
322,195831
323,191480
324,207677
325,48717
326,19374
327,312837
328,34226
329,412196
330,67730
331,78856
332,69166
333,252285
334,69999
335,71563
336,154122
337,35866
338,137144
339,85077
340,178880
341,30044
342,175597
343,182034
344,201913
345,245004
346,37074
347,101695
348,230151
349,233195
350,98948
351,134936
352,74900
353,257154
354,114256
355,93521
356,133821
357,175652
358,79448
359,225725
360,82555
